iter	F1	Logloss
98	0.7506527938	0.6808987808
99	0.7516198733	0.6806640246
100	0.7516198733	0.6806635944
101	0.7525894478	0.6805825006
102	0.7525894478	0.6805122254
103	0.7525894478	0.680498777
104	0.7521043481	0.6804212326
105	0.7525894478	0.6803210706
106	0.7525894478	0.6803118512
107	0.7540485089	0.6802276995
108	0.7550243634	0.680185177
109	0.7545361206	0.6801319789
110	0.7545361206	0.6799955098
111	0.7545361206	0.6799368706
112	0.7540485089	0.6798242709
113	0.7550243634	0.6796830162
114	0.7545361206	0.6795347445
115	0.7545361206	0.6793608815
116	0.7545361206	0.6793415539
117	0.7555132384	0.6792664366
118	0.7550243634	0.6792127372
119	0.7545361206	0.678964786
120	0.7545361206	0.6789121563
121	0.7545361206	0.6788894591
122	0.7545361206	0.6787985507
123	0.7545361206	0.6786940621
124	0.7545361206	0.6786682441
125	0.7540485089	0.678602597
126	0.7540485089	0.678570811
127	0.753561527	0.6783514102
128	0.7525894478	0.6781885481
129	0.7525894478	0.6780261887
130	0.7530751737	0.67801012
131	0.7525894478	0.6778701995
132	0.7530751737	0.6777685212
133	0.7540485089	0.6775990378
134	0.7540485089	0.6774711649
135	0.7530751737	0.6773628566
136	0.7530751737	0.6773346658
137	0.7530751737	0.677173936
138	0.7540485089	0.6769819753
139	0.7550243634	0.6768576438
140	0.7545361206	0.6768063945
141	0.7545361206	0.6765084516
142	0.7540485089	0.6764029309
143	0.7540485089	0.6763380472
144	0.7540485089	0.6762343538
145	0.753561527	0.6761260255
146	0.753561527	0.676075428
147	0.7540485089	0.6760251536
148	0.7530751737	0.6759244417
149	0.7521043481	0.6757961667
150	0.7525894478	0.675641277
151	0.7525894478	0.6754988541
152	0.7521043481	0.6753609379
153	0.7516198733	0.6752356367
154	0.7511360223	0.6752208294
155	0.7516198733	0.6751335651
156	0.7511360223	0.6750837983
157	0.7511360223	0.675083793
158	0.7511360223	0.6750338654
159	0.7521043481	0.6748335646
160	0.7521043481	0.6747378015
161	0.7521043481	0.6746483995
162	0.7521043481	0.6745441833
163	0.7530751737	0.6744782086
164	0.7530751737	0.674412793
165	0.7530751737	0.674363703
166	0.7530751737	0.6743593238
167	0.7525894478	0.6741368063
168	0.7516198733	0.6739483157
169	0.7511360223	0.6738616588
170	0.7521043481	0.6737622393
171	0.7516198733	0.6737092355
172	0.7516198733	0.673581264
173	0.7516198733	0.6735599707
174	0.753561527	0.6734202717
175	0.7540485089	0.6734064124
176	0.7540485089	0.6732049208
177	0.7540485089	0.6729904888
178	0.753561527	0.6729065336
179	0.753561527	0.6729024562
180	0.753561527	0.672782782
181	0.7530751737	0.6727347773
182	0.7525894478	0.6726482604
183	0.7525894478	0.6726313395
184	0.7521043481	0.6725115714
185	0.7521043481	0.6724320908
186	0.7516198733	0.6723791812
187	0.7511360223	0.6722799245
188	0.7501701867	0.6720765479
189	0.7511360223	0.6720357561
190	0.7511360223	0.6720122913
191	0.7506527938	0.6719711601
192	0.7506527938	0.6719688624
193	0.7511360223	0.6718079264
194	0.7511360223	0.6717762327
195	0.7516198733	0.6717679604
196	0.7511360223	0.6717059917
197	0.7506527938	0.6716978171
198	0.7506527938	0.671653703
199	0.7506527938	0.6715836652
